Project Name,Package Name,Type Name,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,YALCOM
lombok,lombok.ant,SimpleTestFormatter,37.0,19.0,4.0,4.0,0.65,0.36363636363636365
lombok,org.mapstruct.ap.spi,AstModifyingAnnotationProcessor,0.0,0.0,1.0,1.0,0.0,-1.0
lombok,org.mapstruct.ap.spi,AstModifyingAnnotationProcessor,0.0,0.0,1.0,1.0,0.0,-1.0
lombok,org.eclipse.jdt.internal.compiler.ast,OperatorIds,0.0,0.0,0.0,0.0,0.0,-1.0
lombok,com.sun.tools.javac.tree,EndPosTable,0.0,0.0,1.0,1.0,0.0,-1.0
lombok,com.sun.tools.javac.tree,DocCommentTable,6.0,0.0,4.0,4.0,0.0,-1.0
lombok,com.sun.tools.javac.tree,JCTree,0.0,0.0,0.0,0.0,0.0,-1.0
lombok,com.sun.tools.javac.tree,JCCompilationUnit,0.0,0.0,0.0,0.0,0.0,-1.0
lombok,com.sun.tools.javac.tree,Visitor,0.0,0.0,0.0,0.0,0.0,-1.0
lombok,com.sun.tools.javac.util,BaseFileObject,0.0,0.0,0.0,0.0,0.0,-1.0
lombok,com.sun.tools.javac.util,Options,36.0,0.0,9.0,9.0,1.125,1.0
lombok,com.sun.tools.javac.util,List,0.0,0.0,0.0,0.0,0.0,-1.0
lombok,com.sun.tools.javac.util,Context,0.0,0.0,0.0,0.0,0.0,-1.0
lombok,com.sun.tools.javac.util,Key,0.0,0.0,0.0,0.0,0.0,-1.0
lombok,com.sun.tools.javac.util,Name,6.0,0.0,4.0,4.0,0.0,1.0
lombok,com.sun.tools.javac.util,JCDiagnostic,0.0,0.0,0.0,0.0,0.0,-1.0
lombok,com.sun.tools.javac.util,DiagnosticPosition,0.0,0.0,0.0,0.0,0.0,-1.0
lombok,com.sun.tools.javac.util,Context,21.0,0.0,7.0,7.0,0.0,1.0
lombok,com.sun.tools.javac.util,Key,0.0,0.0,0.0,0.0,0.0,-1.0
lombok,com.sun.tools.javac.util,Factory,1.0,0.0,2.0,2.0,0.0,-1.0
lombok,com.sun.tools.javac.file,BaseFileObject,0.0,0.0,1.0,1.0,0.0,0.0
lombok,com.sun.tools.javac.file,JavacFileManager,0.0,0.0,0.0,0.0,0.0,-1.0
lombok,com.sun.tools.javac.file,BaseFileManager,3.0,0.0,3.0,3.0,0.0,1.0
lombok,com.sun.tools.javac.file,PathFileObject,0.0,0.0,1.0,1.0,0.0,0.0
lombok,com.sun.tools.javac.code,Symtab,0.0,0.0,9.0,9.0,0.0,0.0
lombok,com.sun.tools.javac.code,Symbol,902.0,901.0,45.0,45.0,1.0,0.9767441860465116
lombok,com.sun.tools.javac.code,TypeSymbol,0.0,0.0,0.0,0.0,0.0,-1.0
lombok,com.sun.tools.javac.code,MethodSymbol,78.0,78.0,13.0,13.0,1.0,1.0
lombok,com.sun.tools.javac.code,VarSymbol,10.0,10.0,6.0,6.0,1.125,1.0
lombok,com.sun.tools.javac.code,ClassSymbol,28.0,0.0,8.0,8.0,0.0,1.0
lombok,com.sun.tools.javac.code,ModuleSymbol,3.0,0.0,3.0,3.0,0.0,1.0
lombok,com.sun.tools.javac.code,Type,0.0,0.0,0.0,0.0,0.0,-1.0
lombok,com.sun.tools.javac.code,Attribute,1.0,0.0,2.0,2.0,0.0,1.0
lombok,com.sun.tools.javac.code,Compound,1.0,0.0,2.0,2.0,0.0,1.0
lombok,com.sun.tools.javac.comp,ArgumentAttr,0.0,0.0,1.0,1.0,0.0,0.0
lombok,com.sun.tools.javac.comp,Todo,0.0,0.0,0.0,0.0,0.0,-1.0
lombok,com.sun.tools.javac.parser,Tokens,10.0,0.0,6.0,6.0,1.25,1.0
lombok,com.sun.tools.javac.parser,Token,0.0,0.0,1.0,1.0,0.0,-1.0
lombok,com.sun.tools.javac.parser,Comment,10.0,0.0,5.0,5.0,0.0,-1.0
lombok,com.sun.tools.javac.parser,Parser,1.0,0.0,2.0,2.0,2.0,1.0
lombok,com.sun.tools.javac.parser,Factory,1.0,0.0,2.0,2.0,2.0,1.0
lombok,com.sun.tools.javac.parser,ParserFactory,0.0,0.0,1.0,1.0,0.0,0.0
lombok,com.sun.tools.javac.parser,Scanner,105.0,0.0,15.0,15.0,1.0714285714285714,1.0
lombok,com.sun.tools.javac.parser,Factory,3.0,0.0,3.0,3.0,1.5,1.0
lombok,com.sun.tools.javac.parser,EndPosParser,6.0,0.0,4.0,4.0,0.0,1.0
lombok,com.sun.tools.javac.parser,JavacParser,3.0,0.0,3.0,3.0,0.0,1.0
lombok,com.sun.tools.javac.parser,ScannerFactory,6.0,0.0,4.0,4.0,1.3333333333333333,1.0
lombok,com.sun.tools.javac.parser,Lexer,0.0,0.0,0.0,0.0,0.0,-1.0
lombok,com.sun.tools.javac.parser,JavaTokenizer,15.0,15.0,6.0,6.0,1.0,1.0
lombok,com.sun.tools.javac.parser,UnicodeReader,3.0,0.0,4.0,4.0,1.5,1.0
lombok,com.sun.tools.javac.parser,DocCommentScanner,6.0,0.0,4.0,4.0,0.0,1.0
lombok,com.sun.tools.javac.parser,Parser,0.0,0.0,0.0,0.0,0.0,-1.0
lombok,com.sun.tools.javac.parser,Factory,0.0,0.0,0.0,0.0,0.0,-1.0
lombok,com.sun.tools.javac.main,JavaCompiler,55.0,0.0,14.0,14.0,1.1,1.0
lombok,com.sun.tools.javac.main,Arguments,10.0,0.0,5.0,5.0,1.25,1.0
lombok,com.sun.tools.javac.main,JavacOption,0.0,0.0,0.0,0.0,0.0,-1.0
lombok,com.sun.tools.javac.main,Option,0.0,0.0,0.0,0.0,0.0,-1.0
lombok,com.sun.tools.javac.main,Option,0.0,0.0,0.0,0.0,0.0,-1.0
lombok,com.sun.tools.javac.main,OptionName,0.0,0.0,0.0,0.0,0.0,-1.0
lombok,com.sun.tools.javadoc,DocCommentScanner,3.0,0.0,3.0,3.0,0.0,1.0
lombok,com.sun.tools.javadoc,Factory,0.0,0.0,1.0,1.0,0.0,0.0
lombok,lombok.launch,MavenEcjBootstrapAgent,3.0,0.0,3.0,3.0,0.5,0.6666666666666666
lombok,lombok.launch,ShadowClassLoader,208.0,185.0,11.0,2.0,0.9494047619047619,0.09090909090909091
lombok,lombok.launch,PackageShader,3.0,0.0,2.0,1.0,0.5555555555555555,0.0
lombok,lombok.launch,Agent,3.0,0.0,3.0,1.0,0.0,0.0
lombok,lombok.launch,ClassFileMetaData,265.0,95.0,5.0,1.0,0.8910344827586207,0.0
lombok,lombok.launch,Main,3.0,0.0,3.0,1.0,0.5,0.0
lombok,lombok.launch,AnnotationProcessorHider,30.0,15.0,5.0,5.0,0.7222222222222222,0.5
lombok,lombok.launch,AstModificationNotifierData,0.0,0.0,0.0,0.0,0.0,-1.0
lombok,lombok.launch,AnnotationProcessor,13.0,0.0,3.0,2.0,0.2857142857142857,0.25
lombok,lombok.launch,ClaimingProcessor,1.0,0.0,2.0,2.0,0.0,1.0
lombok,lombok.launch,PatchFixesHider,3828.0,0.0,88.0,88.0,1.0010946907498632,0.9431818181818182
lombok,lombok.launch,Util,55.0,0.0,11.0,3.0,1.0,0.2727272727272727
lombok,lombok.launch,LombokDeps,6.0,0.0,4.0,4.0,1.0,1.0
lombok,lombok.launch,ModuleClassLoading,0.0,0.0,1.0,1.0,0.0,0.0
lombok,lombok.launch,Transform,3.0,0.0,3.0,1.0,0.5,0.0
lombok,lombok.launch,Delegate,6.0,0.0,4.0,4.0,1.0,1.0
lombok,lombok.launch,ValPortal,6.0,0.0,4.0,4.0,1.0,1.0
lombok,lombok.launch,Val,6.0,0.0,4.0,4.0,1.2,1.0
lombok,lombok.launch,ExtensionMethod,15.0,0.0,6.0,6.0,1.1142857142857143,1.0
lombok,lombok.launch,Javadoc,1.0,0.0,2.0,2.0,-0.0,0.0
lombok,lombok.launch,PatchFixes,741.0,0.0,39.0,38.0,1.0,0.9743589743589743
lombok,lombok.launch,FieldInitializer,3.0,0.0,3.0,3.0,0.6666666666666666,0.0
lombok,lombok.launch,Tests,21.0,0.0,7.0,7.0,0.0,1.0
lombok,lombok,Lombok,6.0,0.0,4.0,3.0,0.0,0.75
lombok,lombok,ConfigurationKeys,0.0,0.0,1.0,1.0,0.0,0.0
lombok,lombok.eclipse,EclipseNode,216.0,201.0,17.0,10.0,0.7619047619047619,0.45454545454545453
lombok,lombok.eclipse,TransformEclipseAST,49.0,7.0,2.0,2.0,0.7472527472527474,0.0
lombok,lombok.eclipse,AnnotationVisitor,1.0,0.0,1.0,1.0,0.14285714285714285,0.0
lombok,lombok.eclipse,EclipseAST,848.0,835.0,34.0,8.0,0.9771341463414634,0.19047619047619047
lombok,lombok.eclipse,EclipseWorkspaceBasedFileResolver,0.0,0.0,1.0,1.0,0.0,0.0
lombok,lombok.eclipse,ParseProblem,0.0,0.0,1.0,1.0,-0.0,0.0
lombok,lombok.eclipse,EcjReflectionCheck,0.0,0.0,0.0,0.0,0.0,-1.0
lombok,lombok.eclipse,EclipseAnnotationHandler,3.0,0.0,3.0,3.0,0.0,1.0
lombok,lombok.eclipse,EclipseImportList,12.0,3.0,3.0,1.0,0.5,0.0
lombok,lombok.eclipse,EclipseASTAdapter,300.0,300.0,25.0,25.0,1.0,1.0
lombok,lombok.eclipse,EclipseAstProblemView,6.0,0.0,4.0,4.0,1.0,1.0
lombok,lombok.eclipse,LombokProblem,3.0,0.0,3.0,3.0,1.0,1.0
lombok,lombok.eclipse,EclipseASTVisitor,1490.0,1269.0,36.0,36.0,0.882183908045977,-1.0
lombok,lombok.eclipse,Printer,340.0,119.0,11.0,6.0,0.7929292929292929,0.17647058823529413
lombok,lombok.eclipse,HandlerLibrary,113.0,73.0,7.0,4.0,0.8823529411764706,0.1111111111111111
lombok,lombok.eclipse,VisitorContainer,1.0,0.0,1.0,1.0,0.6666666666666666,0.0
lombok,lombok.eclipse,AnnotationHandlerContainer,5.0,0.0,1.0,1.0,0.625,0.0
lombok,lombok.eclipse,EcjAugments,1.0,0.0,2.0,2.0,2.0,1.0
lombok,lombok.eclipse,EclipseAugments,0.0,0.0,1.0,1.0,0.0,0.0
lombok,lombok.eclipse,Java14Bits,0.0,0.0,1.0,1.0,0.0,0.0
lombok,lombok.eclipse,Eclipse,91.0,0.0,14.0,10.0,1.029585798816568,0.7142857142857143
lombok,lombok.eclipse.handlers,HandleWithBy,15.0,0.0,6.0,1.0,1.0,0.0
lombok,lombok.eclipse.handlers,HandleUtilityClass,6.0,0.0,4.0,1.0,1.0,0.0
lombok,lombok.eclipse.handlers,HandleStandardException,45.0,0.0,10.0,2.0,0.8666666666666667,0.2
lombok,lombok.eclipse.handlers,HandleWith,15.0,0.0,6.0,1.0,0.0,0.0
lombok,lombok.eclipse.handlers,HandleEqualsAndHashCode,89.0,87.0,12.0,3.0,0.9692307692307692,0.21428571428571427
lombok,lombok.eclipse.handlers,HandleDelegate,0.0,0.0,1.0,1.0,0.0,0.0
lombok,lombok.eclipse.handlers,HandleSynchronized,3.0,0.0,3.0,1.0,1.0,0.0
lombok,lombok.eclipse.handlers,HandleLockedUtil,21.0,0.0,7.0,2.0,1.0,0.2857142857142857
lombok,lombok.eclipse.handlers,HandleJacksonized,3.0,0.0,3.0,1.0,1.0,0.0
lombok,lombok.eclipse.handlers,HandleLog,105.0,0.0,15.0,11.0,1.0,0.7333333333333333
lombok,lombok.eclipse.handlers,HandleCommonsLog,0.0,0.0,1.0,1.0,0.0,0.0
lombok,lombok.eclipse.handlers,HandleJulLog,0.0,0.0,1.0,1.0,0.0,0.0
lombok,lombok.eclipse.handlers,HandleLog4jLog,0.0,0.0,1.0,1.0,0.0,0.0
lombok,lombok.eclipse.handlers,HandleLog4j2Log,0.0,0.0,1.0,1.0,0.0,0.0
lombok,lombok.eclipse.handlers,HandleSlf4jLog,0.0,0.0,1.0,1.0,0.0,0.0
lombok,lombok.eclipse.handlers,HandleXSlf4jLog,0.0,0.0,1.0,1.0,0.0,0.0
lombok,lombok.eclipse.handlers,HandleJBossLog,0.0,0.0,1.0,1.0,0.0,0.0
lombok,lombok.eclipse.handlers,HandleFloggerLog,0.0,0.0,1.0,1.0,0.0,0.0
lombok,lombok.eclipse.handlers,HandleCustomLog,0.0,0.0,1.0,1.0,0.0,0.0
lombok,lombok.eclipse.handlers,HandleData,0.0,0.0,1.0,1.0,0.0,0.0
lombok,lombok.eclipse.handlers,HandleLockedRead,1.0,0.0,2.0,2.0,0.5,0.0
lombok,lombok.eclipse.handlers,HandleToString,21.0,0.0,7.0,5.0,1.0,0.7142857142857143
lombok,lombok.eclipse.handlers,SetGeneratedByVisitor,2737.0,0.0,1.0,1.0,0.7549295774647887,0.0
lombok,lombok.eclipse.handlers,HandleLocked,1.0,0.0,2.0,1.0,0.33333333333333326,0.0
lombok,lombok.eclipse.handlers,HandleExtensionMethod,0.0,0.0,1.0,1.0,0.0,0.0
lombok,lombok.eclipse.handlers,EclipseSingularsRecipes,878.0,810.0,21.0,20.0,0.9435215946843853,0.45454545454545453
lombok,lombok.eclipse.handlers,TypeReferenceMaker,0.0,0.0,1.0,1.0,0.0,-1.0
lombok,lombok.eclipse.handlers,StatementMaker,0.0,0.0,1.0,1.0,0.0,-1.0
lombok,lombok.eclipse.handlers,SingularData,54.0,30.0,1.0,1.0,0.8240740740740741,0.0
lombok,lombok.eclipse.handlers,EclipseSingularizer,276.0,0.0,24.0,15.0,0.9565217391304348,0.5833333333333334
lombok,lombok.eclipse.handlers,HandleAccessors,0.0,0.0,1.0,1.0,0.0,0.0
lombok,lombok.eclipse.handlers,HandleNonNull,45.0,0.0,10.0,1.0,1.0370370370370372,0.0
lombok,lombok.eclipse.handlers,HandleConstructor,273.0,270.0,24.0,3.0,1.0,0.0
lombok,lombok.eclipse.handlers,HandleNoArgsConstructor,0.0,0.0,1.0,1.0,0.0,0.0
lombok,lombok.eclipse.handlers,HandleRequiredArgsConstructor,0.0,0.0,1.0,1.0,0.0,0.0
lombok,lombok.eclipse.handlers,HandleAllArgsConstructor,0.0,0.0,1.0,1.0,0.0,0.0
lombok,lombok.eclipse.handlers,HandleBuilder,304.0,112.0,6.0,3.0,0.9095200629425649,0.09375
lombok,lombok.eclipse.handlers,BuilderJob,62.0,46.0,7.0,4.0,0.9629629629629629,0.0
lombok,lombok.eclipse.handlers,BuilderFieldData,0.0,0.0,12.0,12.0,0.0,-1.0
lombok,lombok.eclipse.handlers,HandleSetter,21.0,0.0,7.0,1.0,0.8333333333333334,0.0
lombok,lombok.eclipse.handlers,EclipseHandlerUtil,12660.0,11459.0,109.0,51.0,0.9853413654618474,0.2874251497005988
lombok,lombok.eclipse.handlers,EclipseReflectiveMembers,10.0,0.0,5.0,5.0,1.25,1.0
lombok,lombok.eclipse.handlers,GetterMethod,0.0,0.0,1.0,1.0,0.0,0.0
lombok,lombok.eclipse.handlers,HandleValue,0.0,0.0,1.0,1.0,0.0,0.0
lombok,lombok.eclipse.handlers,HandleSuperBuilder,617.0,604.0,31.0,7.0,0.9516483516483516,0.16666666666666666
lombok,lombok.eclipse.handlers,SuperBuilderJob,3.0,3.0,3.0,3.0,1.0,0.0
lombok,lombok.eclipse.handlers,HandleSneakyThrows,6.0,2.0,2.0,1.0,0.625,0.0
lombok,lombok.eclipse.handlers,DeclaredException,0.0,0.0,1.0,1.0,0.0,0.0
lombok,lombok.eclipse.handlers,HandlePrintAST,0.0,0.0,1.0,1.0,0.0,0.0
lombok,lombok.eclipse.handlers,HandleBuilderDefault,0.0,0.0,1.0,1.0,0.0,0.0
lombok,lombok.eclipse.handlers,HandleHelper,6.0,0.0,4.0,2.0,0.0,0.5
lombok,lombok.eclipse.handlers,HandleFieldNameConstants,6.0,0.0,4.0,1.0,1.0,0.0
lombok,lombok.eclipse.handlers,HandleFieldDefaults,3.0,0.0,3.0,1.0,1.0,0.0
lombok,lombok.eclipse.handlers,HandleCleanup,6.0,0.0,4.0,1.0,0.0,0.0
lombok,lombok.eclipse.handlers,HandleLockedWrite,1.0,0.0,2.0,2.0,0.5,0.0
lombok,lombok.eclipse.handlers,HandleGetter,45.0,0.0,10.0,1.0,0.9841269841269842,0.0
lombok,lombok.eclipse.handlers,HandleVal,0.0,0.0,1.0,1.0,0.0,0.0
lombok,lombok.eclipse.handlers.singulars,EclipseGuavaTableSingularizer,6.0,0.0,4.0,4.0,1.0,1.0
lombok,lombok.eclipse.handlers.singulars,EclipseGuavaSingularizer,120.0,0.0,16.0,2.0,1.0,0.125
lombok,lombok.eclipse.handlers.singulars,EclipseGuavaSetListSingularizer,6.0,0.0,4.0,4.0,1.0,1.0
lombok,lombok.eclipse.handlers.singulars,EclipseJavaUtilSetSingularizer,6.0,0.0,4.0,4.0,1.0,1.0
lombok,lombok.eclipse.handlers.singulars,EclipseGuavaMapSingularizer,6.0,0.0,4.0,4.0,1.0,1.0
lombok,lombok.eclipse.handlers.singulars,EclipseJavaUtilListSetSingularizer,28.0,0.0,8.0,5.0,0.0,0.25
lombok,lombok.eclipse.handlers.singulars,EclipseJavaUtilListSingularizer,6.0,0.0,4.0,4.0,1.0,1.0
lombok,lombok.eclipse.handlers.singulars,EclipseJavaUtilSingularizer,6.0,0.0,6.0,5.0,1.1904761904761905,0.75
lombok,lombok.eclipse.handlers.singulars,EclipseJavaUtilMapSingularizer,66.0,0.0,12.0,9.0,1.0,0.4166666666666667
lombok,lombok.core,CleanupTask,0.0,0.0,1.0,1.0,0.0,-1.0
lombok,lombok.core,PublicApiCreatorApp,28.0,0.0,8.0,4.0,0.0,0.5
lombok,lombok.core,Fail,0.0,0.0,1.0,1.0,0.0,0.0
lombok,lombok.core,LombokConfiguration,28.0,0.0,8.0,7.0,0.9047619047619048,0.625
lombok,lombok.core,AST,633.0,600.0,20.0,11.0,0.9551282051282052,0.2702702702702703
lombok,lombok.core,FieldAccess,0.0,0.0,1.0,1.0,0.0,0.0
lombok,lombok.core,AnnotationValues,380.0,232.0,8.0,1.0,0.9010416666666666,0.0
lombok,lombok.core,AnnotationValue,5.0,0.0,1.0,1.0,0.75,0.0
lombok,lombok.core,AnnotationValueDecodeFail,0.0,0.0,1.0,1.0,0.0,0.0
lombok,lombok.core,DiagnosticsReceiver,6.0,0.0,5.0,5.0,1.3333333333333333,-1.0
lombok,lombok.core,LombokNode,566.0,537.0,23.0,13.0,0.9117647058823529,0.37142857142857144
lombok,lombok.core,PostCompilerTransformation,0.0,0.0,1.0,1.0,0.0,-1.0
lombok,lombok.core,CleanupRegistry,3.0,0.0,1.0,1.0,0.41666666666666663,0.0
lombok,lombok.core,CleanupKey,0.0,0.0,1.0,1.0,-0.0,0.0
lombok,lombok.core,ImportList,10.0,0.0,5.0,5.0,0.0,-1.0
lombok,lombok.core,TypeLibrary,11.0,0.0,2.0,1.0,0.5357142857142857,0.0
lombok,lombok.core,AgentLauncher,10.0,0.0,5.0,5.0,1.0,1.0
lombok,lombok.core,AgentLaunchable,0.0,0.0,1.0,1.0,0.0,-1.0
lombok,lombok.core,AgentInfo,1.0,0.0,2.0,1.0,0.0,0.0
